id,gender,description,language
4271290,M,"Agricolaplatz: eine der 42 Münchner Geiseln König Gustavs II. Adolf",de
63094057,M,"Aindorferstraße: Aindorfer, eine der 42 Münchner Geiseln König Gustavs II. Adolf",de
