Rappstraße;4271286
Rattenhuberstraße;4515585
Raublinger Straße;4537295
Rechpacherstraße;16943297
Reindlstraße;5079664;5085887
Reithmannstraße;4537385
Reutterstraße;4218698;4271284;16943253;159179345;159179346
Riegerhofstraße;35134707;422789263;422789264
Riegerhofweg;4218710
Rilkestraße;4585902
Ronpeckhstraße;4271292
Rushaimerstraße;16943312
Saherrstraße;5079677;5079852;5085885;24952474
Sandrartstraße;4586041;4586042;8149338;144559510
Sankt-Ulrich-Straße;35104333
Schedelstraße;159179347
Schifferlstraße;16800467
Schlangenwegerl;30673310
Schrobenhausener Straße;4515609
Schrottstraße;159179348
Schulmeierweg;312037058
Schäufeleinstraße;152976884
Seehoferstraße;4497107
Senftenauerstraße;63095006;94694440;280294401;293561751;293561752;293561753;428657479;878579158
Siglstraße;4515608;8147776;56542061;97857349;452205999
Stadtlohner Straße;16799967
Stegener Weg;4885823;178966547;293561755
Steinbeisplatz;4537298;4885795
Straubinger Straße;159179354
Stroblstraße;4218723;8351861;243126331;424714808;424714809
Sturmstraße;5080877
Stöberlstraße;4218703;81081318;152113295;152113297;159179366
Stögerstraße;4271288
Stürzerstraße;5079674;5085891
Sulzbeckstraße;16943296
Thurneyssenstraße;5080869;209587270
Tuttlinger Straße;4218720;4218721
Valpichlerstraße;4218705;4218715;4218716;4515611;152280712;152280713;237418956;237421404;262201842
Veit-Stoß-Straße;120512754;152976885;153040210
Viebigplatz;178651072;851117648
Vohburger Straße;16800555;30673309;199659895;199659897
Von-der-Pfordten-Straße;4218706;8367914;56196604;293467275
Vosslerstraße;5079635
Walter-Scott-Straße;4515603
Weichselbaumerstraße;4586071
Weiß-Ferdl-Straße;16943291
Weißenfelderplatz;4515586;4885794
Weißenfelderstraße;4515584
Westendstraße;4288172;10953445;26621205;55794319;56542062;69104438;81976801;151623339;172218553;172485424;199697582;358594961;361005816;387216973;403118026;406449685;406449687;497140868;497140892;497140895;497613128
Weßlinger Straße;5079673
Widarkisstraße;17249132
Wilhelm-Mayr-Straße;4218688
Wilhelm-Riehl-Straße;4497089
Willibaldplatz;4218697
Willibaldstraße;4218693;4271283;34554615;223102098;343009015;343009019;343009025;428822227
Wimpfener Straße;4218719
Wotanstraße;4058977;26558446;36106092;51692723
Zschokkestraße;27149721;27149722;51775748;56197695;56542053;56542058;153184481;261314510;387216975;397754120
Zumbuschweg;82789019
Zündterstraße;4218691
